"","survey_id","question","option","input_type","input_id","dependence","dependence_value","required","tags_implied"
"1",1,"What would you like to do? (select multiple)","Learn about pre-regs","checkbox","q_intent","NA","NA",TRUE,"More info"
"2",1,"What would you like to do? (select multiple)","Work on a pre-registration","checkbox","q_intent","NA","NA",TRUE,"Practical step"
"3",1,"What would you like to do? (select multiple)","Report deviations after a pre-reg","checkbox","q_intent","NA","NA",TRUE,"Deviations"
"4",1,"What would you like to do? (select multiple)","Assess quality of a pre-registration","checkbox","q_intent","NA","NA",TRUE,"intermediate,quality assessment"
"5",1,"What would you like to do? (select multiple)","Find guidance on a specific field / method","checkbox","q_intent","NA","NA",TRUE,"intermediate"
"6",1,"What would you like to do? (select multiple)","Convince someone / decide for myself whether to pre-register","checkbox","q_intent","NA","NA",TRUE,"Convince"
"7",2,"What is your prereg expertise?","Novice","mc","q_expertise","NA","NA",TRUE,"Novice"
"8",2,"What is your prereg expertise?","Beginner","mc","q_expertise","NA","NA",TRUE,"Beginner"
"9",2,"What is your prereg expertise?","Intermediate","mc","q_expertise","NA","NA",TRUE,"Intermediate"
"10",2,"What is your prereg expertise?","Advanced","mc","q_expertise","NA","NA",TRUE,"Advanced"
"11",2,"How much time do you have?","Hours","mc","q_time","NA","NA",TRUE,"Hours"
"12",2,"How much time do you have?","Days","mc","q_time","NA","NA",TRUE,"Days"
"13",2,"How much time do you have?","Weeks","mc","q_time","NA","NA",TRUE,"Weeks"
"14",2,"How much time do you have?","Months","mc","q_time","NA","NA",TRUE,"Months"
"15",3,"Is the study quantitative, qualitative or a literature review/meta-analysis?","Quantitative","mc","q_design","NA","NA",TRUE,"Quantitative"
"16",3,"Is the study quantitative, qualitative or a literature review/meta-analysis?","Qualitative","mc","q_design","NA","NA",TRUE,"Qualitative"
"17",3,"Is the study quantitative, qualitative or a literature review/meta-analysis?","Literature review (incl. meta-analyses)","mc","q_design","NA","NA",TRUE,"Literature review"
"18",3,"Is the study quantitative, qualitative or a literature review/meta-analysis?","Mixed-methods","mc","q_design","NA","NA",TRUE,"Quantitative,Qualitative,Mixed-methods"
"19",4,"Has the data you have been using already been collected?","Yes - but I have not accessed it yet","mc","q_secondary","NA","NA",TRUE,NA
"20",4,"Has the data you have been using already been collected?","Yes - and I have already accessed it in any way","mc","q_secondary","NA","NA",TRUE,"Secondary data"
"21",4,"Has the data you have been using already been collected?","No","mc","q_secondary","NA","NA",TRUE,NA
"22",4,"Specific methods (select all that apply)","Meta-analysis","checkbox","q_methods_lit","q_design","Literature review (incl. meta-analyses)",TRUE,"Meta-analysis"
"23",4,"Specific methods (select all that apply)","Systematic review","checkbox","q_methods_lit","q_design","Literature review (incl. meta-analyses)",TRUE,"Systematic review"
"24",4,"Specific methods (select all that apply)","Scoping Review","checkbox","q_methods_lit","q_design","Literature review (incl. meta-analyses)",TRUE,"Scoping Review"
"25",4,"Specific methods (select all that apply)","Narrative Review","checkbox","q_methods_lit","q_design","Literature review (incl. meta-analyses)",TRUE,"Narrative Review"
"26",4,"Specific methods (select all that apply)","Correlational","checkbox","q_methods_quant","NA","NA",TRUE,"Correlational"
"27",4,"Specific methods (select all that apply)","Experimental","checkbox","q_methods_quant","NA","NA",TRUE,"Experimental"
"28",4,"Specific methods (select all that apply)","Longitudinal","checkbox","q_methods_quant","NA","NA",TRUE,"Longitudinal"
"29",4,"Specific methods (select all that apply)","Modeling/simulation-based research","checkbox","q_methods_quant","NA","NA",TRUE,"Modeling/simulation-based research"
"30",4,"Specific methods (select all that apply)","Clinical trial","checkbox","q_methods_quant","NA","NA",TRUE,"Clinical trial"
"31",4,"Is the research confirmatory, exploratory or a mix of both?","Confirmatory","mc","q_approach","NA","NA",TRUE,"Confirmatory"
"32",4,"Is the research confirmatory, exploratory or a mix of both?","Exploratory","mc","q_approach","NA","NA",TRUE,"Exploratory"
"33",4,"Is the research confirmatory, exploratory or a mix of both?","Mixed","mc","q_approach","NA","NA",TRUE,"Confirmatory,Exploratory,Mix"
"34",4,"Which of the following statements/tags applies to your research? (Select all)","I am working in a team","checkbox","q_extras","NA","NA",TRUE,"Collaboration"
"35",4,"Which of the following statements/tags applies to your research? (Select all)","It is replication research","checkbox","q_extras","NA","NA",TRUE,"Replication"
"36",4,"Which of the following statements/tags applies to your research? (Select all)","I use code (rather than a graphical interface) for data analysis","checkbox","q_extras","NA","NA",TRUE,"Scriptable"
"37",4,"Which of the following statements/tags applies to your research? (Select all)","Measure development","checkbox","q_extras","NA","NA",TRUE,"Measure development"
"38",4,"Which of the following statements/tags applies to your research? (Select all)","Psychometrics","checkbox","q_extras","NA","NA",TRUE,"Psychometrics"
"39",4,"Which of the following statements/tags applies to your research? (Select all)","Psychophysiology","checkbox","q_extras","NA","NA",TRUE,"Psychophysiology"
"40",4,"Which of the following statements/tags applies to your research? (Select all)","Bayesian","checkbox","q_extras","NA","NA",TRUE,"Bayesian"
"41",4,"Which of the following statements/tags applies to your research? (Select all)","Networks","checkbox","q_extras","NA","NA",TRUE,"Networks"
"42",4,"Which of the following statements/tags applies to your research? (Select all)","SEM","checkbox","q_extras","NA","NA",TRUE,"SEM"
"43",4,"Which of the following statements/tags applies to your research? (Select all)","Factor analysis","checkbox","q_extras","NA","NA",TRUE,"Factor analysis"
"44",4,"Which of the following statements/tags applies to your research? (Select all)","Missing data","checkbox","q_extras","NA","NA",TRUE,"Missing data"
"45",4,"Which of the following statements/tags applies to your research? (Select all)","Neuroscience","checkbox","q_extras","NA","NA",TRUE,"Neuroscience"
